city_name,state_abbr,fips_full,fips_state,fips_county,fips_tract,fdi_score,poverty_rate,median_income,pct_black,pct_no_internet,vacancy_rate,total_population,imputed_flag,dim_poverty,dim_income,dim_pct_black,dim_no_internet,dim_vacancy,dim_health_prox
Jackson,MS,28049002700,28,049,002700,35.73,21.9435736677116,74875.0,79.06542056074767,0.0,19.351464435146443,1070,False,0.219435736677116,0.7206801618100337,0.7906542056074767,0.0,0.19351464435146443,0.219435736677116
Jackson,MS,28049003000,28,049,003000,51.37,44.122257053291534,33047.0,85.85723815877252,14.700544464609798,30.164765525982258,1499,False,0.44122257053291536,0.8928111406948943,0.8585723815877252,0.147005444646098,0.30164765525982257,0.44122257053291536
Jackson,MS,28049003200,28,049,003200,43.89,23.181049069373945,40365.0,95.03171247357294,11.886304909560723,23.818897637795274,946,False,0.23181049069373943,0.8626960382879083,0.9503171247357294,0.11886304909560723,0.23818897637795275,0.23181049069373943
Jackson,MS,28049003300,28,049,003300,53.19,50.57908070937387,29970.0,92.61599566708793,12.291666666666666,22.54941508672852,5539,False,0.5057908070937387,0.9054736400261727,0.9261599566708792,0.12291666666666666,0.2254941508672852,0.5057908070937387
Jackson,MS,28049003400,28,049,003400,48.0,44.529672991522,31904.0,87.60597496972143,0.6696428571428571,20.91791703442189,2477,False,0.44529672991521996,0.8975148250418723,0.8760597496972143,0.006696428571428571,0.2091791703442189,0.44529672991521996
Jackson,MS,28049003500,28,049,003500,49.28,37.93248945147679,36959.0,97.51263116984066,2.8380634390651087,31.815594763801936,2573,False,0.3793248945147679,0.8767124415125863,0.9751263116984066,0.028380634390651086,0.31815594763801935,0.3793248945147679
Jackson,MS,28049003600,28,049,003600,39.9,24.2072962836686,51742.0,85.74838049778384,1.771479185119575,21.86851211072664,2933,False,0.242072962836686,0.8158773009164572,0.8574838049778384,0.01771479185119575,0.2186851211072664,0.242072962836686
Jackson,MS,28049003700,28,049,003700,47.03,35.58537714021286,40588.0,87.08091193562807,12.318840579710146,25.405405405405407,2237,False,0.35585377140212865,0.8617783465911663,0.8708091193562807,0.12318840579710147,0.25405405405405407,0.35585377140212865
Jackson,MS,28049003800,28,049,003800,44.8,34.42223305704534,29046.0,70.20965382740127,9.041980624327234,29.780801209372637,2051,False,0.34422233057045337,0.9092760935140185,0.7020965382740126,0.09041980624327234,0.29780801209372637,0.34422233057045337
Jackson,MS,28049010102,28,049,010102,34.59,16.85459940652819,63137.0,84.45103857566765,1.1173184357541899,11.386138613861387,5055,False,0.16854599406528192,0.7689844897757623,0.8445103857566765,0.011173184357541898,0.11386138613861388,0.16854599406528192
Jackson,MS,28049010103,28,049,010103,38.1,26.43200699606471,45911.0,81.63533012680368,1.2425218591808558,8.88888888888889,4574,False,0.2643200699606471,0.839873086942029,0.8163533012680368,0.012425218591808557,0.08888888888888889,0.2643200699606471
Jackson,MS,28049010104,28,049,010104,28.38,13.692480359147025,75481.0,47.8675645342312,6.331877729257641,16.878402903811253,1782,False,0.13692480359147025,0.7181863449121608,0.478675645342312,0.06331877729257641,0.16878402903811252,0.13692480359147025
